epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0565,0.58773,2.80932,1.0321,0.4446,0.89302,0.61694,0.58536,0.29067,2.69907,0.77929,0.00013332,0.00013332,0.00013332
2,26.1703,0.42693,1.25467,0.93064,0.51996,0.80598,0.64306,0.60776,0.29926,1.82028,0.79112,0.000276375,0.000276375,0.000276375
3,47.9662,0.41945,1.02861,0.90423,0.78895,0.96905,0.92691,0.86986,0.32785,0.68954,0.80104,0.000418,0.000418,0.000418
4,63.0397,0.44167,0.90535,0.91387,0.71528,0.92908,0.94333,0.86748,0.37381,0.73175,0.82686,0.000558196,0.000558196,0.000558196
5,81.8619,0.45596,0.79871,0.91953,0.74875,0.84186,0.80884,0.74215,0.4277,0.8633,0.85327,0.000696961,0.000696961,0.000696961
6,99.5451,0.45611,0.83618,0.91803,0.86813,0.90608,0.94481,0.85941,0.43674,0.63953,0.8716,0.000834297,0.000834297,0.000834297
7,116.89,0.44924,0.75916,0.90283,0.78102,0.77324,0.81931,0.74303,0.45509,0.72701,0.87589,0.000970203,0.000970203,0.000970203
8,139.58,0.46024,0.74731,0.90642,0.75914,0.83733,0.83493,0.76471,0.40565,0.84855,0.83254,0.0010725,0.0010725,0.0010725
9,155.231,0.44601,0.69616,0.90443,0.90277,0.92227,0.94988,0.87118,0.38671,0.45457,0.8338,0.001067,0.001067,0.001067
10,171.421,0.44162,0.70224,0.90218,0.8498,0.95919,0.96427,0.89499,0.36768,0.46209,0.82238,0.0010615,0.0010615,0.0010615
11,188.995,0.41992,0.6614,0.89112,0.83363,0.90714,0.92787,0.87752,0.33166,0.53315,0.79691,0.00105601,0.00105601,0.00105601
12,209.52,0.41744,0.65009,0.90278,0.90874,0.96602,0.98594,0.94124,0.32211,0.38911,0.80338,0.00105051,0.00105051,0.00105051
13,227.088,0.41701,0.63325,0.89297,0.89935,0.91962,0.98334,0.92905,0.33929,0.40225,0.80537,0.00104501,0.00104501,0.00104501
14,245.712,0.42159,0.62391,0.89985,0.94569,0.91605,0.96828,0.92322,0.326,0.41578,0.80169,0.00103951,0.00103951,0.00103951
15,262.007,0.4164,0.65894,0.90077,0.86902,0.90789,0.96201,0.89976,0.35758,0.47499,0.81019,0.00103401,0.00103401,0.00103401
16,278.81,0.40537,0.60957,0.88483,0.95445,0.96908,0.98315,0.94786,0.30758,0.35616,0.79074,0.00102851,0.00102851,0.00102851
17,296.38,0.40624,0.62672,0.8948,0.80079,0.91494,0.88995,0.84904,0.32263,0.57661,0.80354,0.00102301,0.00102301,0.00102301
18,315.01,0.40186,0.59856,0.89756,0.80366,0.84201,0.84464,0.8048,0.32716,0.70501,0.80956,0.00101751,0.00101751,0.00101751
19,332.18,0.3922,0.59608,0.88976,0.92267,0.93125,0.97543,0.93136,0.30146,0.41155,0.79455,0.00101201,0.00101201,0.00101201
20,348.771,0.39322,0.59482,0.90659,0.93111,0.97248,0.99301,0.94323,0.32148,0.33914,0.80745,0.00100651,0.00100651,0.00100651
21,366.607,0.40244,0.58431,0.90034,0.93897,0.99879,0.99222,0.95083,0.30373,0.28247,0.80129,0.00100101,0.00100101,0.00100101
22,384.762,0.40167,0.59142,0.90011,0.92889,0.88363,0.96957,0.93541,0.2914,0.46025,0.79673,0.000995512,0.000995512,0.000995512
23,398.756,0.38356,0.55693,0.88505,0.92627,0.96634,0.97181,0.93261,0.2923,0.34084,0.78946,0.000990012,0.000990012,0.000990012
24,415.619,0.37837,0.5908,0.88954,0.94423,0.97745,0.98931,0.95762,0.27603,0.32559,0.79031,0.000984513,0.000984513,0.000984513
25,434.655,0.38339,0.56528,0.88636,0.927,0.96968,0.98709,0.95889,0.27518,0.34527,0.7895,0.000979013,0.000979013,0.000979013
26,450.533,0.39259,0.57572,0.89979,0.99009,0.98994,0.99479,0.96617,0.28951,0.25296,0.78918,0.000973514,0.000973514,0.000973514
27,467.673,0.38497,0.58887,0.89,0.97554,0.98175,0.99325,0.9649,0.29581,0.29307,0.78884,0.000968014,0.000968014,0.000968014
28,486.743,0.38429,0.56583,0.88841,0.92752,0.9135,0.97175,0.93908,0.28131,0.3842,0.78942,0.000962515,0.000962515,0.000962515
29,502.697,0.38166,0.56677,0.88512,0.99372,0.99936,0.995,0.9742,0.27512,0.24322,0.79077,0.000957015,0.000957015,0.000957015
